Year;№;Team;M;W;D;L;G;GA;PTS;xG;xGA;xPTS
2020;8;Eintracht Frankfurt;17;6;9;2;30;26;27;31.92+1.92;23.25-2.75;29.97+2.97
2020;9;Freiburg;17;6;6;5;31;28;24;25.67-5.33;24.79-3.21;24.12+0.12
2020;10;VfB Stuttgart;17;5;7;5;32;27;22;30.92-1.08;26.50-0.50;26.06+4.06
2020;11;Hoffenheim;17;5;4;8;25;30;19;25.83+0.83;30.45+0.45;21.07+2.07
2020;12;Augsburg;17;5;4;8;17;26;19;17.15+0.15;28.71+2.71;16.62-2.38
2020;13;Werder Bremen;17;4;6;7;19;25;18;16.63-2.37;24.57-0.43;18.73+0.73
2020;14;Hertha Berlin;17;4;5;8;23;28;17;19.67-3.33;22.92-5.08;21.76+4.76
2020;15;Arminia Bielefeld;17;5;2;10;13;24;17;12.77-0.23;29.59+5.59;12.87-4.13
2020;16;FC Cologne;17;3;6;8;15;28;15;16.64+1.64;26.79-1.21;16.04+1.04
2020;17;Mainz 05;17;1;4;12;15;36;7;21.93+6.93;31.14-4.86;17.78+10.78
2020;18;Schalke 04;17;1;4;12;14;44;7;14.68+0.68;37.45-6.55;9.96+2.96
2019;1;RasenBallsport Leipzig;17;11;4;2;48;20;37;44.46-3.54;21.01+1.01;36.78-0.22
2019;2;Borussia M.Gladbach;17;11;2;4;33;18;35;38.19+5.19;23.89+5.89;31.02-3.98
2019;3;Bayern Munich;17;10;3;4;46;22;33;47.84+1.84;20.95-1.05;37.36+4.36
2019;4;Borussia Dortmund;17;8;6;3;41;24;30;32.56-8.44;23.98-0.02;29.37-0.63
2019;5;Schalke 04;17;8;6;3;29;21;30;21.49-7.51;26.44+5.44;19.70-10.30
2019;6;Bayer Leverkusen;17;8;4;5;23;21;28;30.02+7.02;25.18+4.18;26.98-1.02
2019;7;Hoffenheim;17;8;3;6;25;28;27;23.47-1.53;27.66-0.34;20.73-6.27
2019;8;Freiburg;17;7;5;5;27;23;26;23.46-3.54;34.10+11.10;17.95-8.05
2019;9;Wolfsburg;17;6;6;5;18;18;24;24.37+6.37;17.15-0.85;28.75+4.75
2019;10;Augsburg;17;6;5;6;28;31;23;24.77-3.23;28.02-2.98;22.75-0.25
2019;11;Union Berlin;17;6;2;9;20;24;20;22.77+2.77;27.01+3.01;21.82+1.82
2019;12;Hertha Berlin;17;5;4;8;22;29;19;20.02-1.98;25.56-3.44;18.63-0.37
2019;13;Eintracht Frankfurt;17;5;3;9;27;29;18;29.35+2.35;24.99-4.01;26.30+8.30
2019;14;Mainz 05;17;6;0;11;25;39;18;23.51-1.49;32.52-6.48;18.89+0.89
2019;15;FC Cologne;17;5;2;10;19;32;17;20.14+1.14;26.92-5.08;18.93+1.93
2019;16;Fortuna Duesseldorf;17;4;3;10;18;36;15;19.38+1.38;36.97+0.97;15.75+0.75
2019;17;Werder Bremen;17;3;5;9;23;41;14;20.99-2.01;32.24-8.76;18.19+4.19
2019;18;Paderborn;17;3;3;11;20;36;12;20.45+0.45;32.64-3.36;16.18+4.18
2018;1;Borussia Dortmund;17;13;3;1;44;18;42;32.41-11.59;19.10+1.10;32.50-9.50
2018;2;Bayern Munich;17;11;3;3;36;18;36;38.81+2.81;14.73-3.27;38.36+2.36
2018;3;Borussia M.Gladbach;17;10;3;4;36;18;33;31.38-4.62;24.53+6.53;28.01-4.99
2018;4;RasenBallsport Leipzig;17;9;4;4;31;17;31;35.31+4.31;21.68+4.68;30.76-0.24
2018;5;Wolfsburg;17;8;4;5;27;22;28;23.60-3.40;19.80-2.20;26.22-1.78
2018;6;Eintracht Frankfurt;17;8;3;6;34;23;27;31.21-2.79;22.68-0.32;27.62+0.62
2018;7;Hoffenheim;17;6;7;4;32;23;25;37.66+5.66;26.45+3.45;30.78+5.78
2018;8;Hertha Berlin;17;6;6;5;26;27;24;24.85-1.15;32.32+5.32;18.56-5.44
2018;9;Bayer Leverkusen;17;7;3;7;26;29;24;25.32-0.68;28.48-0.52;21.92-2.08
2018;10;Werder Bremen;17;6;4;7;28;29;22;24.85-3.15;32.17+3.17;20.28-1.72
2018;11;Freiburg;17;5;6;6;21;25;21;22.18+1.18;28.63+3.63;20.17-0.83
2018;12;Mainz 05;17;5;6;6;17;22;21;20.46+3.46;28.96+6.96;18.01-2.99
